msme_id,segment,elec_on_time_ratio,recharge_on_time_ratio,invoice_paid_on_time_ratio,supplier_on_time_ratio,business_days_open_ratio,monthly_upi_in_count,monthly_upi_in_amt,years_in_business,delivery_cancellations,avg_balance,min_balance_freq,monthly_revenue_variance,defaulted_12m
msme_000037,pharmacy,0.8981,0.8511,0.3834,0.6673,0.9214,32,66710.2,5.36,1,19037.92,0.1975,0.6941,0
msme_000038,restaurant,0.6583,0.7465,0.6734,0.7932,0.9904,32,32796.24,2.39,2,53786.54,0.1,0.4102,0
msme_000039,tailor,0.8289,0.687,0.6521,0.9177,0.8419,24,44384.17,6.17,0,0.0,0.1585,0.2143,0
msme_000040,kirana,0.8587,0.6072,0.4848,0.4217,0.9148,31,65844.42,1.22,0,26206.99,0.1917,0.3136,0
msme_000041,kirana,0.5404,0.5666,0.6821,0.8088,0.8991,30,11102.61,2.02,3,16092.52,0.3509,0.2595,0
msme_000042,pharmacy,0.8318,0.8926,0.4316,0.7017,0.8364,33,23235.14,2.23,0,6653.81,0.1539,0.7055,0
msme_000043,tailor,0.8343,0.5252,0.5908,0.655,0.9841,30,54262.43,7.24,0,0.0,0.223,0.2307,0
msme_000044,salon,0.8405,0.7076,0.688,0.7662,0.9909,36,42438.26,1.83,1,4340.41,0.2399,0.19,0
msme_000045,mechanic,0.9065,0.5123,0.6465,0.6171,0.9806,27,1000.0,2.51,1,13325.81,0.0795,0.4229,0
msme_000046,pharmacy,0.9387,0.6347,0.7309,0.6593,0.7797,33,25709.65,0.96,0,37785.56,0.2267,0.4299,0
msme_000047,restaurant,0.8404,0.5376,0.8309,0.8085,0.8509,41,44468.66,10.9,1,15847.8,0.1988,0.49,0
msme_000048,mechanic,0.7875,0.7353,0.6084,0.8826,0.9801,31,76885.83,10.33,2,16242.98,0.1877,0.0786,0
msme_000049,restaurant,0.7022,0.7675,0.7684,0.4591,0.9382,29,79163.71,0.49,1,11405.03,0.1126,0.4348,0
msme_000050,mechanic,0.9051,0.7578,0.4466,0.8873,0.912,29,41259.7,2.64,1,23924.94,0.2999,0.5084,0
msme_000051,pharmacy,0.95,0.8106,0.4054,0.5985,0.9936,19,80673.33,1.52,0,16602.82,0.2419,0.5608,0
msme_000052,pharmacy,0.809,0.5733,0.6294,0.809,0.745,32,31635.21,9.51,1,7846.21,0.1396,0.3354,0
msme_000053,tailor,0.5263,0.6417,0.5452,0.7228,0.7054,37,52374.84,3.0,2,19084.35,0.1098,0.7268,0
msme_000054,kirana,0.8615,0.3382,0.6948,0.8392,0.9738,25,57449.56,0.82,1,31413.57,0.1215,0.1012,0
msme_000055,kirana,0.8557,0.6626,0.5803,0.5413,0.8735,36,35867.88,2.14,1,13839.37,0.2296,0.3272,0
msme_000056,tailor,0.5657,0.7662,0.8294,0.7207,0.8761,35,54489.54,1.51,2,18010.49,0.0797,0.4523,0
msme_000057,pharmacy,0.7928,0.7227,0.5335,0.6234,0.9614,27,23657.94,6.8,0,3982.96,0.1932,0.2626,0
msme_000058,pharmacy,0.6823,0.5966,0.6384,0.3186,0.946,32,84341.46,4.48,1,5517.53,0.0998,0.2334,0
msme_000059,pharmacy,0.9383,0.6527,0.7255,0.6972,0.9533,15,77111.99,4.24,1,11337.05,0.1317,0.2902,0
msme_000060,salon,0.8919,0.5262,0.712,0.5297,0.95,28,88034.96,0.37,0,12635.94,0.2512,0.6682,0
msme_000061,kirana,0.7433,0.8075,0.4947,0.4069,0.9006,26,71140.04,7.78,1,24330.4,0.3568,0.093,0
msme_000062,kirana,0.8806,0.7431,0.7495,0.677,0.9582,33,38154.02,3.52,2,19783.22,0.1887,0.1303,0
msme_000063,salon,0.8847,0.6484,0.4533,0.703,0.9398,31,34478.81,4.34,0,51111.24,0.08,0.4531,0
msme_000064,restaurant,0.6995,0.5231,0.5341,0.844,0.9656,25,76147.42,2.44,1,35840.85,0.1467,0.142,0
msme_000065,mechanic,0.8261,0.5679,0.6351,0.7715,0.5261,33,68127.39,6.74,0,27742.67,0.2274,0.2266,0
msme_000066,pharmacy,0.8916,0.6873,0.3547,0.6538,0.935,28,30931.88,1.94,1,21183.44,0.1231,0.4049,1
msme_000067,restaurant,0.8075,0.6085,0.6088,0.7634,0.8448,27,34345.25,1.62,1,20230.68,0.3507,0.1295,0
msme_000068,mechanic,0.8135,0.7554,0.3215,0.6442,0.9877,35,54932.89,0.25,0,20007.92,0.3725,0.1519,0
msme_000069,tailor,0.8468,0.7493,0.6086,0.5965,0.9513,28,51022.98,1.56,1,4967.19,0.0699,0.5903,0
msme_000070,kirana,0.8155,0.8148,0.4428,0.6698,0.9653,28,31444.26,1.78,3,22600.12,0.4053,0.1833,0
msme_000071,mechanic,0.8602,0.643,0.6952,0.6091,0.9305,28,29728.56,12.47,0,1136.33,0.3063,0.0694,0
msme_000072,salon,0.6772,0.7444,0.2,0.6165,0.9715,31,64713.83,2.87,1,22441.17,0.1619,0.1478,0
msme_000073,tailor,0.9095,0.7845,0.7634,0.8091,0.9353,33,31050.19,12.6,1,0.0,0.0745,0.0312,0
msme_000074,tailor,0.5229,0.828,0.4802,0.94,0.6821,38,16742.16,7.58,1,26135.42,0.0436,0.5417,0
msme_000075,salon,0.6827,0.8609,0.5964,0.7625,0.9603,27,80434.34,9.43,1,32308.33,0.4151,0.4114,0
msme_000076,salon,0.5899,0.8161,0.4878,0.9053,0.9143,28,56255.01,8.79,2,23451.06,0.2676,0.5311,0
msme_000077,kirana,0.5803,0.9633,0.6902,0.8125,0.8557,18,67470.71,0.99,2,26314.59,0.169,0.3597,0
msme_000078,mechanic,0.8505,0.6645,0.6844,0.4613,0.9467,19,7316.05,14.45,2,14603.47,0.0644,0.3141,0
msme_000079,mechanic,0.6374,0.8082,0.6746,0.6928,0.7657,27,91836.3,5.23,0,40106.92,0.3754,0.1682,0
msme_000080,tailor,0.8125,0.658,0.3668,0.8227,0.8617,39,45641.14,1.5,1,20237.11,0.2522,0.3382,0
msme_000081,kirana,0.8927,0.6632,0.6077,0.6718,0.9784,32,53858.42,0.35,1,45679.06,0.176,0.2461,0
msme_000082,pharmacy,0.6237,0.8922,0.4444,0.9182,0.9603,24,86090.8,0.37,0,31855.58,0.2666,0.3036,0
msme_000083,salon,0.5345,0.8218,0.3295,0.4257,0.8921,29,61840.8,0.99,1,6104.28,0.1179,0.1906,0
msme_000084,tailor,0.9556,0.7766,0.5642,0.9655,0.8092,32,17570.78,0.61,1,6569.81,0.1565,0.3467,0
msme_000085,salon,0.8394,0.7965,0.5449,0.9328,0.9757,29,80935.95,11.6,0,13140.48,0.5036,0.1629,0
msme_000086,salon,0.5775,0.6855,0.5471,0.8756,0.9935,35,66708.51,7.62,2,26146.44,0.1183,0.3087,0
msme_000087,pharmacy,0.7409,0.7486,0.5556,0.5044,0.9903,33,62769.8,7.95,0,35458.71,0.056,0.1586,0
msme_000088,salon,0.9523,0.6819,0.6981,0.9005,0.9649,26,42448.86,0.35,0,31351.83,0.2592,0.1231,0
msme_000089,restaurant,0.918,0.6106,0.5438,0.6666,0.983,40,37696.41,3.75,0,36776.86,0.2878,0.4013,0
msme_000090,mechanic,0.6875,0.8039,0.4859,0.6829,0.9117,33,25493.47,2.57,0,65929.2,0.0327,0.0358,0
msme_000091,restaurant,0.792,0.6431,0.5636,0.7272,0.6874,41,37884.28,2.44,0,10105.97,0.125,0.2262,0
msme_000092,pharmacy,0.9432,0.7302,0.3867,0.6707,0.7972,23,20858.21,4.89,0,20270.62,0.0947,0.311,0
msme_000093,pharmacy,0.8057,0.7814,0.5409,0.6124,0.8943,23,97603.41,3.36,1,44389.38,0.0153,0.0848,0
msme_000094,tailor,0.8844,0.6641,0.41,0.6887,0.9595,26,33079.27,10.23,3,0.0,0.0909,0.3251,0
msme_000095,kirana,0.5539,0.8637,0.748,0.8093,0.9941,29,72168.31,0.88,0,0.0,0.1742,0.3577,0
msme_000096,tailor,0.8225,0.6591,0.7456,0.8179,0.7581,26,20693.49,9.42,3,37203.19,0.1972,0.1931,0
msme_000097,kirana,0.9047,0.7814,0.7751,0.9776,0.9365,34,69435.18,0.1,0,5766.25,0.4232,0.4111,0
msme_000098,restaurant,0.7632,0.745,0.4007,0.5042,0.9391,28,46932.28,4.3,1,21400.59,0.2392,0.1745,0
msme_000099,kirana,0.5984,0.6517,0.6572,0.4837,0.9586,28,60834.72,1.99,0,18975.84,0.1088,0.3933,0
msme_000100,mechanic,0.8547,0.9613,0.5286,0.8508,0.8816,20,1000.0,8.97,2,37157.55,0.1414,0.3125,0
msme_000101,tailor,0.8416,0.6447,0.8028,0.7705,0.9054,30,85736.45,2.8,2,22278.16,0.5316,0.1167,0
msme_000102,pharmacy,0.9789,0.7782,0.5266,0.8323,0.9252,33,61087.54,1.26,0,2721.97,0.0104,0.5447,0
msme_000103,tailor,0.7999,0.5593,0.6345,0.6776,0.9985,35,47961.93,0.21,1,20619.88,0.3082,0.4814,0
msme_000104,salon,0.8857,0.9381,0.4584,0.8914,0.9749,31,34837.42,0.81,0,26838.56,0.1327,0.2877,0
msme_000105,tailor,0.6131,0.7312,0.6368,0.6604,0.5331,33,72342.44,10.05,0,54224.78,0.2145,0.1081,0
msme_000106,pharmacy,0.7758,0.7136,0.5107,0.6763,0.9613,32,57093.78,9.47,0,5181.9,0.0638,0.4384,0
msme_000107,kirana,0.4772,0.8976,0.5146,0.4017,0.9308,35,31671.1,5.69,1,29789.7,0.0771,0.2163,0
msme_000108,mechanic,0.8789,0.6594,0.7765,0.6808,0.9262,21,85456.01,2.46,0,0.0,0.1793,0.2353,0
msme_000109,pharmacy,0.6497,0.673,0.4644,0.6961,0.9977,26,85986.14,4.8,1,19191.43,0.1112,0.1875,0
msme_000110,kirana,0.7348,0.6073,0.7281,0.7422,0.72,19,24340.77,5.63,1,38450.01,0.0634,0.1396,0
msme_000111,restaurant,0.9741,0.6839,0.4801,0.6211,0.9405,32,7933.53,0.68,1,4639.57,0.0762,0.3872,0
msme_000112,pharmacy,0.6619,0.5939,0.7331,0.7615,0.9743,41,60837.64,10.4,1,26539.63,0.0084,0.4018,0
msme_000113,kirana,0.9527,0.8326,0.6436,0.6593,0.9107,29,106810.87,1.25,1,33335.56,0.3113,0.1632,0
msme_000114,tailor,0.8571,0.9595,0.5631,0.8103,0.9902,17,51721.14,3.9,1,13181.78,0.2608,0.253,0
msme_000115,tailor,0.9052,0.8493,0.7393,0.892,0.8165,33,70387.53,0.38,0,19278.67,0.1118,0.243,0
msme_000116,mechanic,0.6642,0.5746,0.7457,0.6864,0.7401,28,84202.46,3.31,1,2468.88,0.2403,0.4033,0
msme_000117,kirana,0.8369,0.8791,0.5072,0.8653,0.9944,31,49192.98,0.96,1,32788.94,0.3673,0.2509,0
msme_000118,salon,0.8939,0.9077,0.7336,0.3728,0.9671,30,32024.83,8.35,0,0.0,0.262,0.1759,0
msme_000119,restaurant,0.8241,0.8005,0.5225,0.5704,0.955,27,69645.3,7.26,2,25729.5,0.1546,0.1766,0
msme_000120,kirana,0.9362,0.6918,0.7141,0.7985,0.9661,27,40566.45,9.78,2,30759.25,0.2091,0.5808,0
msme_000121,tailor,0.9155,0.6602,0.7294,0.6443,0.9435,24,95162.91,3.98,0,21366.51,0.3087,0.1589,0
msme_000122,pharmacy,0.9141,0.6112,0.7436,0.6866,0.9542,30,50380.68,3.54,0,35717.77,0.2398,0.5195,0
msme_000123,pharmacy,0.4959,0.5193,0.6042,0.64,0.9875,20,66989.39,13.21,1,0.0,0.1329,0.3985,0
msme_000124,tailor,0.5393,0.6911,0.7072,0.5095,0.9323,25,75045.62,0.1,0,12536.44,0.1284,0.0442,0
msme_000125,pharmacy,0.675,0.7436,0.7164,0.569,0.8453,38,39689.65,1.67,0,0.0,0.0357,0.0835,0
msme_000126,pharmacy,0.8034,0.6767,0.6145,0.6789,0.9863,35,20595.67,0.79,5,27313.4,0.0941,0.4358,0
msme_000127,restaurant,0.8452,0.6133,0.4892,0.5823,0.8602,25,78676.53,0.42,0,11957.42,0.1499,0.2066,0
msme_000128,salon,0.9678,0.8504,0.3276,0.8942,0.9363,29,67458.02,4.21,2,16205.72,0.3396,0.2383,0
msme_000129,pharmacy,0.6586,0.4238,0.4186,0.7831,0.8945,33,1000.0,2.96,0,31290.23,0.1029,0.2169,0
msme_000130,mechanic,0.7211,0.6392,0.6037,0.3768,0.9822,33,20811.64,1.19,0,27808.3,0.4242,0.3622,0
msme_000131,kirana,0.6677,0.775,0.4336,0.7049,0.9485,30,87701.19,3.66,0,12171.4,0.1441,0.3524,0
msme_000132,salon,0.9832,0.7559,0.7056,0.6563,0.9627,36,34252.89,1.08,2,5225.1,0.1451,0.2368,0
msme_000133,mechanic,0.9222,0.5785,0.5379,0.8544,0.9805,27,49442.49,12.2,1,9666.72,0.1531,0.1324,0
msme_000134,salon,0.9741,0.636,0.3897,0.6349,0.982,34,78184.35,1.28,1,14553.25,0.0263,0.2404,0
msme_000135,salon,0.815,0.7447,0.6577,0.8444,0.6768,25,46695.77,2.45,0,21084.18,0.2824,0.1374,0
msme_000136,salon,0.9299,0.849,0.8218,0.6806,0.9464,33,22612.02,3.51,0,36055.48,0.3254,0.2352,0
msme_000137,tailor,0.858,0.8613,0.6351,0.9221,0.9612,24,74659.41,3.19,0,9320.4,0.1743,0.2358,0
msme_000138,kirana,0.9166,0.7944,0.5113,0.6877,0.928,30,56588.77,10.92,1,30157.73,0.4902,0.3257,0
msme_000139,tailor,0.7349,0.5927,0.2771,0.5616,0.7193,42,41988.44,1.49,1,20371.45,0.3658,0.1772,0
msme_000140,salon,0.8613,0.3784,0.5948,0.8146,0.9093,26,67467.22,5.22,1,21078.21,0.2216,0.1668,0
msme_000141,salon,0.7881,0.5916,0.5404,0.5261,0.9144,27,16976.87,4.3,1,0.0,0.2549,0.1837,0
msme_000142,kirana,0.8867,0.6008,0.8619,0.7384,0.9249,35,67585.7,0.35,0,20665.38,0.0336,0.3187,0
msme_000143,salon,0.9619,0.5034,0.4319,0.6713,0.9112,31,1000.0,4.33,2,15239.74,0.11,0.169,0
msme_000144,mechanic,0.9582,0.6592,0.5838,0.5906,0.9884,29,50810.18,3.94,0,34916.71,0.2513,0.3333,0
msme_000145,tailor,0.8793,0.5121,0.7502,0.745,0.8637,49,62182.63,5.21,0,36078.95,0.1283,0.2654,0
msme_000146,mechanic,0.7152,0.567,0.2186,0.7417,0.7588,38,29933.47,5.55,1,18841.74,0.3471,0.0813,0
msme_000147,pharmacy,0.7744,0.6364,0.484,0.7604,0.9679,32,57218.2,0.13,2,32646.58,0.3997,0.3266,0
msme_000148,restaurant,0.6246,0.7302,0.6263,0.6415,0.9047,39,60517.49,3.47,1,11331.19,0.0514,0.4241,0
msme_000149,mechanic,0.8379,0.9407,0.6889,0.6483,0.9845,23,35233.14,2.75,1,25225.13,0.0591,0.0656,0
msme_000150,kirana,0.7928,0.5672,0.8224,0.7563,0.9407,29,59255.3,1.46,0,28764.71,0.2425,0.5161,0
msme_000151,salon,0.7052,0.3936,0.7436,0.8905,0.783,45,50353.73,1.78,0,32133.79,0.1275,0.2717,0
msme_000152,kirana,0.8443,0.607,0.4216,0.4988,0.8719,36,60544.5,10.88,1,39652.88,0.0393,0.2088,0
msme_000153,tailor,0.7346,0.5587,0.2493,0.8676,0.9786,25,35682.96,8.86,1,25795.74,0.4099,0.2549,0
msme_000154,tailor,0.6159,0.7029,0.4033,0.833,0.9026,29,35860.59,2.61,2,12930.26,0.0921,0.5762,0
msme_000155,kirana,0.9339,0.6371,0.6579,0.8699,0.9607,45,26248.41,2.07,0,34269.59,0.2148,0.3397,0
msme_000156,mechanic,0.8984,0.8053,0.6859,0.8052,0.9856,31,68070.67,5.48,1,21676.99,0.0117,0.1408,0
msme_000157,pharmacy,0.9259,0.5628,0.7061,0.333,0.9672,22,100693.49,1.52,1,11978.65,0.1537,0.1339,0
msme_000158,restaurant,0.723,0.7308,0.3593,0.7101,0.9402,29,56977.1,2.58,0,24373.46,0.5494,0.0364,0
msme_000159,restaurant,0.7835,0.9322,0.6618,0.8803,0.9424,25,39514.13,0.27,1,14876.35,0.2426,0.3026,0
msme_000160,restaurant,0.8278,0.6202,0.3859,0.5194,0.9848,26,56194.68,0.4,0,44019.47,0.2063,0.1491,0
msme_000161,mechanic,0.7927,0.8648,0.5314,0.5981,0.9528,30,29277.09,21.55,0,11986.4,0.0865,0.5421,0
msme_000162,kirana,0.8476,0.6716,0.8092,0.8333,0.9934,42,24674.26,0.26,1,0.0,0.0568,0.3021,0
msme_000163,tailor,0.7513,0.8278,0.3981,0.5625,0.8555,39,82318.63,3.93,2,26710.91,0.1285,0.1472,0
msme_000164,kirana,0.6825,0.77,0.5785,0.8721,0.9423,31,31505.72,9.28,0,0.0,0.1459,0.4843,0
msme_000165,tailor,0.7579,0.6648,0.5676,0.5052,0.9294,30,1000.0,2.25,1,6102.99,0.0706,0.4849,0
msme_000166,salon,0.9149,0.6729,0.852,0.5786,0.9094,20,51427.95,6.18,0,24272.38,0.1194,0.2284,0
msme_000167,mechanic,0.7697,0.7348,0.7659,0.7729,0.997,26,72537.41,4.95,2,7370.09,0.1532,0.7027,0
msme_000168,restaurant,0.7312,0.8705,0.499,0.7231,0.7865,29,39069.81,0.85,2,0.0,0.3271,0.4844,0
msme_000169,salon,0.6586,0.7723,0.5308,0.7899,0.9594,26,47433.28,0.28,1,35431.53,0.2364,0.3601,0
msme_000170,kirana,0.664,0.6188,0.7684,0.7225,0.9991,21,53739.95,9.64,1,21467.41,0.2145,0.403,0
msme_000171,pharmacy,0.8615,0.54,0.8086,0.5386,0.9126,30,6130.28,2.92,0,58267.61,0.2084,0.5051,0
msme_000172,kirana,0.8066,0.8069,0.3594,0.54,0.7525,21,29952.27,0.25,0,0.0,0.1009,0.2721,1
msme_000173,tailor,0.851,0.3767,0.6667,0.5352,0.902,34,66059.31,2.61,1,13567.28,0.1968,0.4887,0
msme_000174,mechanic,0.6707,0.4927,0.6138,0.7158,0.8431,27,38331.03,1.45,0,0.0,0.1702,0.5486,0
msme_000175,pharmacy,0.9334,0.8413,0.3677,0.5028,0.9852,35,18430.76,5.65,2,1746.55,0.3037,0.0682,0
msme_000176,pharmacy,0.3789,0.6663,0.6119,0.5759,0.9226,31,33582.77,16.29,2,16095.36,0.1337,0.4049,0
msme_000177,kirana,0.7629,0.9182,0.4937,0.7157,0.7902,32,69270.06,2.81,0,15057.66,0.1869,0.5492,0
msme_000178,restaurant,0.8033,0.8541,0.5783,0.7371,0.9634,27,70106.41,0.27,0,18327.64,0.3255,0.3155,0
msme_000179,salon,0.8928,0.737,0.453,0.7713,0.9351,40,77302.57,1.61,2,0.0,0.237,0.4609,0
msme_000180,mechanic,0.9021,0.6291,0.7712,0.769,0.908,28,40094.74,11.33,1,8432.0,0.0548,0.3411,0
msme_000181,tailor,0.9046,0.597,0.4614,0.6465,0.9919,29,49085.25,1.91,2,29894.75,0.1985,0.4475,0
msme_000182,kirana,0.6003,0.529,0.6108,0.6718,0.9219,25,75540.57,0.31,1,43719.08,0.1281,0.1071,0
msme_000183,kirana,0.8805,0.621,0.5719,0.8382,0.9544,24,40419.63,0.41,0,28126.06,0.1402,0.2243,0
msme_000184,tailor,0.8061,0.9144,0.4636,0.7212,0.9835,30,31514.64,3.75,2,23148.73,0.1482,0.3404,0
msme_000185,restaurant,0.8055,0.7699,0.4154,0.6564,0.8652,32,55610.43,0.68,0,27526.87,0.2988,0.0612,0
msme_000186,salon,0.8765,0.6018,0.6762,0.8422,0.9437,42,49186.24,3.09,1,45738.61,0.1094,0.3939,0
msme_000187,pharmacy,0.6662,0.622,0.6989,0.9322,0.9345,32,45597.19,9.82,1,21244.81,0.2771,0.1886,0
msme_000188,restaurant,0.6875,0.8452,0.5342,0.5706,0.9862,42,38331.35,0.73,1,11537.06,0.0516,0.6256,0
msme_000189,tailor,0.7898,0.7896,0.5887,0.9242,0.8364,33,52175.41,1.67,0,4457.85,0.256,0.3599,0
msme_000190,tailor,0.565,0.831,0.627,0.8033,0.9948,23,85300.67,1.16,1,21731.64,0.1935,0.2982,0
msme_000191,kirana,0.7685,0.6939,0.681,0.7398,0.9649,30,40234.09,1.08,0,22751.7,0.082,0.0255,0
msme_000192,mechanic,0.9533,0.8864,0.7933,0.6432,0.5659,42,54212.84,10.41,1,37657.77,0.2015,0.0191,0
msme_000193,pharmacy,0.9308,0.5466,0.2289,0.5433,0.8891,26,22420.39,0.34,2,32308.3,0.0796,0.4621,0
msme_000194,restaurant,0.903,0.7118,0.776,0.5589,0.9543,24,80700.76,0.12,1,8752.28,0.1083,0.1963,0
msme_000195,mechanic,0.8654,0.6576,0.2636,0.5252,0.8308,32,11992.83,8.52,0,20563.13,0.1893,0.5108,0
msme_000196,restaurant,0.7939,0.6639,0.561,0.6163,0.9447,27,23437.31,13.33,2,23805.6,0.125,0.1459,0
msme_000197,kirana,0.4307,0.7639,0.6775,0.6552,0.9833,19,67576.63,6.09,2,12084.72,0.5126,0.4934,0
msme_000198,tailor,0.849,0.6438,0.3532,0.785,0.8196,30,60873.53,6.45,1,14090.2,0.402,0.1763,0
msme_000199,pharmacy,0.5383,0.6635,0.7241,0.4903,0.9454,32,46640.47,20.55,1,36072.74,0.048,0.2662,0
msme_000200,tailor,0.8647,0.5376,0.706,0.7146,0.9698,32,40921.71,7.34,2,32816.03,0.4565,0.2127,0
msme_000201,restaurant,0.8593,0.8258,0.8295,0.8836,0.9941,31,83416.43,3.85,1,547.49,0.1018,0.272,0
msme_000202,mechanic,0.9041,0.6922,0.6086,0.8334,0.9848,34,26152.77,5.83,0,26798.82,0.0536,0.4854,0
msme_000203,kirana,0.7309,0.6766,0.395,0.7138,0.9935,31,46351.56,1.24,1,8404.55,0.1172,0.25,0
msme_000204,mechanic,0.9607,0.9071,0.7279,0.7518,0.8861,25,46074.38,4.65,1,1847.59,0.1497,0.4789,0
msme_000205,salon,0.7572,0.7089,0.6303,0.4289,0.749,38,15736.02,3.92,1,14008.02,0.1071,0.06,0
msme_000206,salon,0.9376,0.7487,0.484,0.7975,0.567,23,45399.19,10.63,1,0.0,0.3696,0.6539,0
msme_000207,kirana,0.8931,0.7897,0.5854,0.3815,0.9585,23,56667.49,6.53,1,10994.21,0.1113,0.4055,0
msme_000208,mechanic,0.8091,0.81,0.5526,0.7036,0.7974,35,62638.95,5.32,0,26543.54,0.1291,0.3889,0
msme_000209,mechanic,0.7478,0.3779,0.5966,0.5106,0.8861,30,36776.33,8.08,1,37939.65,0.0936,0.3247,0
msme_000210,salon,0.7166,0.7969,0.6138,0.7556,0.9519,31,49666.68,2.03,1,14859.4,0.044,0.1473,0
